End_Date,PM_2.5,Ammoniated_Sulfate,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2014/03/02 08:00:00,14.2,1.07,0.2,1.45,3.18,0.43,7.08,0.03,0.68,0.1
 2014/04/07 08:00:00,13,1.12,0.2,1.76,3.7,0.29,5.24,0.04,0.59,0.11
 2014/04/25 08:00:00,19.2,3.2,0.35,1.71,9.43,0.66,2.3,,1.48,0.17
 2014/05/01 08:00:00,19.9,1.8,0.21,0.95,12.84,0.52,2.27,0.02,1.26,0.14
 2014/05/02 08:00:00,15.5,3.42,0.09,0.64,8.27,0.29,1.62,0.01,1.12,0.18
 2014/05/03 08:00:00,16,3.16,0.36,1.29,8.04,0.25,1.79,0.02,1.07,0.18
 2014/05/04 08:00:00,8.6,1.84,0.16,1.2,3.1,0.13,1.55,0.08,0.54,0.18
 2014/05/12 08:00:00,14.4,2.11,0.27,1.42,5.16,0.28,4.36,0.02,0.8,0.14
 2014/05/13 08:00:00,13.9,2.36,0.29,1.85,6.51,0.3,1.62,0.05,0.92,0.17
 2014/05/14 08:00:00,15.9,2.11,,0.96,9.27,0.19,2.47,0.03,0.86,0.14
 2014/05/15 08:00:00,19.2,2.52,0.02,1.09,11.96,0.28,2.14,0.05,1.1,0.14
 2014/05/16 08:00:00,17.6,2.62,,0.96,10.63,0.2,2.12,0.02,1,0.15
 2014/05/18 08:00:00,12.2,1.18,,0.83,7.07,0.16,2.29,0.03,0.6,0.12
 2014/05/20 08:00:00,13.9,1.05,,1.06,6.26,0.13,4.81,0.03,0.52,0.1
 2014/05/24 08:00:00,5.3,2.27,5.51,1.25,,0.26,2.49,0.04,,0.32
 2014/05/25 08:00:00,13.2,0.58,,0.97,9.16,0.23,1.55,0.01,0.65,0.11
 2014/06/15 08:00:00,16.8,3.08,0.24,1.37,7.92,0.35,2.62,0.07,1.12,0.17
 2014/06/24 08:00:00,10.3,2.27,0.24,0.56,4.13,0.25,2.05,0.01,0.76,0.19
 2014/07/03 08:00:00,14,3.39,0.31,9.47,,0.26,2.07,0.02,,0.17
 2014/07/12 08:00:00,15.3,3.16,0.33,1.14,6.06,0.39,3.07,0.03,1.11,0.18
 2014/07/21 08:00:00,14.4,1.67,0.33,0.54,7.94,0.29,2.76,0.01,0.87,0.14
 2014/07/30 08:00:00,16.2,2.1,0.37,1.22,8.53,0.33,2.59,0.04,1,0.15
 2014/08/09 08:00:00,16.3,1.82,0.17,1.15,5.03,0.45,6.68,0.01,0.89,0.12
 2014/08/27 08:00:00,3.3,0.2,0.1,0.13,2.2,0.19,0.15,0.02,0.29,0.15
 2014/11/22 08:00:00,16.3,1.34,0.4,1.01,5.62,0.42,6.58,0.03,0.84,0.12
 2014/12/10 08:00:00,17.6,1.55,0.29,0.98,5.08,0.47,8.2,0.04,0.88,0.11
 2015/02/21 08:00:00,17,1.11,0.33,1.49,6.89,0.26,6.18,0.04,0.71,0.1
 2015/03/02 08:00:00,15.8,2.22,0.46,1.96,3.12,0.58,6.31,0.03,1.02,0.15
 2015/04/07 08:00:00,17.8,2.24,0.49,1.54,5.69,0.54,6.08,0.03,1.09,0.14
 2015/04/15 08:00:00,16.9,1.57,0.61,2.19,4.59,0.58,6.25,0.02,1,0.13
 2015/04/30 08:00:00,10.4,1.21,0.33,1.12,4.93,0.35,1.67,0.02,0.72,0.15
 2015/05/09 08:00:00,18.1,2.77,0.1,1.43,6.93,0.26,5.64,0.02,0.94,0.14
 2015/05/18 08:00:00,14.8,2.71,0.23,1.26,7.07,0.28,2.29,0.02,0.97,0.17
 2015/05/27 08:00:00,15.6,2.92,0.08,1.6,4.29,0.26,5.53,0.05,0.86,0.15
 2015/06/05 08:00:00,14.3,3.36,0.13,1.29,5.98,0.22,2.29,0.03,0.96,0.19
 2015/06/08 08:00:00,19.5,2.8,0.24,1.02,11.01,0.43,2.66,0.02,1.27,0.16
 2015/06/23 08:00:00,18.1,3.29,0.3,1.02,9.55,0.34,2.29,0.04,1.22,0.17
 2015/07/13 08:00:00,12,1.52,0.46,1.8,4.63,0.4,2.25,0.08,0.82,0.16
 2015/08/27 08:00:00,15.4,3.52,0.35,1.64,5.95,0.45,2.22,0.06,1.21,0.2
 2015/09/14 08:00:00,17.3,3.09,0.95,1.62,6.88,0.45,2.94,0.05,1.26,0.18
 2015/10/04 08:00:00,18.1,2.85,1.09,2.13,0.37,1.75,7.57,0.09,2.08,0.21
 2015/10/13 08:00:00,21.5,2.81,1.11,2,8.02,1.82,3.07,0.06,2.44,0.2
 2015/10/22 08:00:00,19,2.83,0.47,2.1,6.97,1.62,2.62,0.06,2.15,0.2
 2015/11/07 04:00:00,12.4,0.03,0.93,2.17,-0.61,3.55,2.62,0.18,3.11,0.36
 2016/01/22 08:00:00,1.9,,1.11,0.69,,4.04,,0.02,,0.6
 2016/01/31 08:00:00,10.5,0.36,0.7,2.52,,1.77,6.06,0.06,,0.17
