End_Date,PM_2.5,Ammoniated_Sulfate ,Ammonium_Nitrate,Crustal_Material,  Residual_Material,Sea_Salt,Equivalent_Black_Carbon,Trace_Element_Oxides,Particle-Bound Water (RH=0.35),kappa_volume
 2015/08/02 08:00:00,17.6,4.07,0.45,1.45,8.83,0.46,0.85,,1.43,0.2
 2015/08/11 08:00:00,19.1,6.36,0.41,0.47,8.76,0.28,1.1,,1.63,0.24
 2015/08/20 08:00:00,16.3,4.9,0.51,1.48,6.19,0.69,0.77,,1.66,0.25
 2015/11/19 08:00:00,20.8,8.76,0.48,0.89,7.29,0.22,1.17,0.02,1.9,0.28
 2015/11/28 08:00:00,16.6,4.7,0.31,0.76,8.01,0.24,1.2,0.04,1.3,0.21
 2015/12/07 08:00:00,13.9,3.38,0.45,1.35,6.35,0.28,0.97,0.03,1.07,0.21
 2016/02/11 08:00:00,12.8,4.22,0.34,1.59,2.67,0.89,1.44,0.02,1.56,0.29
 2016/02/20 08:00:00,11.1,3.44,0.36,1.14,0.24,0.53,4.33,0.01,1.03,0.24
 2016/02/29 08:00:00,10.4,3.39,0.52,1.54,,0.87,6.13,0.01,,0.22
 2016/03/09 08:00:00,13.4,5.22,0.48,1.84,,0.91,5.61,0.02,,0.26
 2016/03/18 08:00:00,16.2,7.02,0.55,1.54,-0.54,0.56,5.38,0.01,1.61,0.3
 2016/03/27 08:00:00,20.9,9.23,0.33,1.89,3.52,0.43,3.49,0.02,1.98,0.29
 2016/05/11 08:00:00,18.6,0.78,0.1,1.49,12.52,0.25,2.64,,0.84,0.11
 2016/05/20 08:00:00,15.8,0.7,0.09,1.27,7.99,0.34,4.61,,0.73,0.1
 2016/05/29 08:00:00,15.2,1.61,0.08,1.64,4.95,0.26,5.96,,0.68,0.11
 2016/06/07 08:00:00,17.3,0.81,0.09,0.87,14.22,0.29,,,0.95,0.12
 2016/06/16 08:00:00,14.4,2.9,0.19,1.41,5.13,0.31,3.51,,0.94,0.17
 2016/06/25 08:00:00,15.5,2.68,0.04,1.49,6.04,0.27,4.06,,0.9,0.15
 2016/07/03 08:00:00,15.2,2.86,0.09,1.84,3.1,0.33,5.79,0.34,0.86,0.15
 2016/07/12 08:00:00,13.2,2.57,0.06,1.02,8.05,0.29,,0.17,0.97,0.18
 2016/07/21 08:00:00,15.6,2.52,0.07,2.66,8.93,0.33,,,1.03,0.17
 2016/07/30 08:00:00,17.6,2.99,0.07,2.23,10.78,0.33,,,1.18,0.17
 2016/08/18 08:00:00,16.1,4.26,0.2,1.33,4.67,0.34,3.94,0.17,1.16,0.2
 2016/08/27 08:00:00,18.8,4.16,0.3,0.92,7.16,0.46,4.34,0.03,1.36,0.18
 2016/10/26 08:00:00,20.5,5.97,0.26,3.55,5.92,0.4,2.42,0.42,1.53,0.22
 2016/11/04 08:00:00,17.7,5.65,0.09,2.19,5.54,0.24,2.57,0.13,1.31,0.22
 2016/11/13 08:00:00,17.5,5.24,0.32,2.34,5.07,0.27,2.79,0.11,1.29,0.22
 2016/11/22 08:00:00,17.8,5.88,0.21,1.78,3.91,0.26,4.36,0.07,1.32,0.22
 2016/12/01 08:00:00,12.2,3.04,0.2,2.03,4.86,0.3,0.73,0.05,0.95,0.21
 2016/12/10 08:00:00,13.9,4.65,0.16,2.18,2.27,0.27,3.19,0.06,1.06,0.23
 2016/12/19 08:00:00,11.2,4.6,0.55,1.85,0.74,0.28,2.04,0.04,1.06,0.3
 2016/12/28 08:00:00,6.2,0.46,0.03,0.18,2.89,0.13,2.22,,0.3,0.11
 2017/01/06 08:00:00,7,0.44,0.04,0.37,2.88,0.36,2.4,,0.49,0.12
 2017/01/15 08:00:00,13.3,1.93,0.06,0.31,6.88,0.46,2.61,,0.97,0.16
 2017/01/24 08:00:00,15.7,0.67,0.04,0.26,9.7,0.23,4.06,,0.69,0.1
 2017/02/02 08:00:00,13.1,0.53,0.04,0.5,9.93,0.45,0.7,,0.86,0.13
 2017/02/11 08:00:00,13.9,1.25,0.03,0.33,8,0.4,3.02,,0.86,0.13
 2017/02/20 08:00:00,10,0.99,0.05,0.68,4.13,0.97,1.95,,1.15,0.18
